"","time","device_id","s_0","s_1","s_2","s_3","s_d0","s_t0","s_h0"
"103",2017-10-13 22:21:21,"781463DA0149DBFF",0,100,1,0,11,25.55,88
"104",2017-10-13 22:21:23,"781463DA0104F689",0,100,1,0,10,27.5,81
"105",2017-10-13 22:21:24,"781463DA0104F797",0,100,1,0,11,27.04,81
"106",2017-10-13 22:21:30,"781463DA0104F6A9",0,100,1,0,12,26.71,84
"107",2017-10-13 22:21:40,"781463DA0104F2C0",0,100,1,0,14,27.68,81
"108",2017-10-13 22:21:41,"781463DA0149A43B",0,100,1,0,8,26.77,83
"109",2017-10-13 22:21:42,"781463DA0104F417",0,100,1,0,10,26.58,85
"110",2017-10-13 22:21:43,"781463DA0104F70A",0,100,1,0,12,27.64,81
"111",2017-10-13 22:21:52,"28C2DDDD4243",0,100,1,0,7,28.5,100
"112",2017-10-13 22:22:01,"781463DA0104F657",0,100,1,0,0,26.13,87
"113",2017-10-13 22:22:04,"781463DA0104F787",0,100,1,0,0,29.29,76
"114",2017-10-13 22:22:11,"28C2DDDD47AD",0,100,1,0,22,31.5,89
"115",2017-10-13 22:22:11,"781463DA0104F624",0,100,1,0,14,27.4,82
"116",2017-10-13 22:22:15,"781463DA0149A7F0",0,100,1,0,11,27.7,80
"117",2017-10-13 22:22:15,"781463DA0149AD11",0,100,1,0,15,28.83,77
"118",2017-10-13 22:22:15,"781463DA0149B198",0,100,1,0,14,27.75,80
"119",2017-10-13 22:22:17,"781463DA0104F38E",0,100,1,0,30,27.18,82
"120",2017-10-13 22:22:18,"781463DA0104F38D",0,100,1,0,10,29.75,74
"121",2017-10-13 22:22:22,"781463DA0104F314",0,100,1,0,10,26.38,80
"122",2017-10-13 22:22:24,"28C2DDDD452E",0,100,1,0,3,27.62,100
"123",2017-10-13 22:22:26,"781463DA0149A78F",0,100,1,0,14,26.1,88
"124",2017-10-13 22:22:30,"781463DA0104F77D",0,100,1,0,8,26.85,83
"125",2017-10-13 22:22:30,"781463DA0149A45F",0,100,1,0,6,24.66,91
"126",2017-10-13 22:22:31,"28C2DDDD4583",0,100,1,0,2,32.25,78
"127",2017-10-13 22:22:32,"781463DA0149AFDB",0,100,1,0,16,27.07,82
"128",2017-10-13 22:22:32,"781463DA0149B1A1",0,100,1,0,20,28.63,76
"129",2017-10-13 22:22:33,"28C2DDDD415C",0,100,1,0,8,28.25,100
"130",2017-10-13 22:22:33,"781463DA0104F620",0,100,1,0,21,26.69,83
"131",2017-10-13 22:22:33,"781463DA0149A472",0,100,1,0,21,27.31,83
"132",2017-10-13 22:22:34,"781463DA0104F6A5",0,100,1,0,13,27.23,81
"133",2017-10-13 22:22:35,"781463DA0149AF90",0,100,1,0,22,25.29,87
"134",2017-10-13 22:22:35,"781463DA014AA885",0,100,1,0,21,26.91,83
"135",2017-10-13 22:22:36,"781463DA0104F429",0,100,1,0,9,24.95,88
"136",2017-10-13 22:22:37,"781463DA0104F3E4",0,100,1,0,15,26.96,83
"137",2017-10-13 22:22:41,"28C2DDDD434A",0,100,1,0,1,30,104
"138",2017-10-13 22:22:42,"781463DA0104F20E",0,100,1,0,21,28.95,77
"139",2017-10-13 22:22:45,"28C2DDDD47CC",0,100,1,0,1,27.12,100
"140",2017-10-13 22:22:53,"28C2DDDD43FC",0,100,1,0,4,27.62,146
"141",2017-10-13 22:22:55,"28C2DDDD4781",0,100,1,0,18,32.87,85
"142",2017-10-13 22:23:07,"781463DA0104F43D",0,100,1,0,11,27.64,82
"143",2017-10-13 22:23:08,"781463DA0104F284",0,100,1,0,101,24.08,94
"144",2017-10-13 22:23:13,"28C2DDDD45AA",0,100,1,0,0,29.5,100
"145",2017-10-13 22:23:18,"781463DA014AA88F",0,100,1,0,3,30.38,72
"146",2017-10-13 22:23:27,"28C2DDDD4363",0,100,1,0,4,34,71
"147",2017-10-13 22:23:38,"28C2DDDD459E",0,100,1,0,87,30.12,58
"148",2017-10-13 22:23:44,"28C2DDDD4159",0,100,1,0,0,29,91
"149",2017-10-13 22:23:46,"28C2DDDD4519",0,100,1,0,2,29,70
"150",2017-10-13 22:23:47,"28C2DDDD4582",0,100,1,0,7,27.12,100
"151",2017-10-13 22:23:56,"28C2DDDD457F",0,100,1,0,3,27.87,100
"152",2017-10-13 22:23:57,"28C2DDDD456A",0,100,1,0,14,27.62,100
"153",2017-10-13 22:24:03,"28C2DDDD43F8",0,100,1,0,12,28.5,129
"154",2017-10-13 22:24:06,"28C2DDDD4180",0,100,1,0,3,27.87,97
"155",2017-10-13 22:24:12,"781463DA0149A515",0,100,1,0,26,26.1,87
"156",2017-10-13 22:24:13,"28C2DDDD4242",0,100,1,0,0,32.25,79
"157",2017-10-13 22:24:13,"781463DA0104F3EA",0,100,1,0,5,28.13,77
"158",2017-10-13 22:24:13,"781463DA0104F695",0,100,1,0,17,25.65,89
"159",2017-10-13 22:24:13,"781463DA0149B1EF",0,100,1,0,14,26.03,86
"160",2017-10-13 22:24:14,"781463DA0104F278",0,100,1,0,17,27.69,80
"161",2017-10-13 22:24:14,"781463DA0149B3AD",0,100,1,0,20,25.37,90
"162",2017-10-13 22:24:15,"781463DA0149A786",0,100,1,0,22,26.09,87
"163",2017-10-13 22:24:16,"781463DA0149ABD3",0,100,1,0,0,26.27,58
"164",2017-10-13 22:24:20,"781463DA0104F34A",0,100,1,0,22,27.58,82
"165",2017-10-13 22:24:21,"781463DA0104F4E6",0,100,1,0,2,24.31,74
"166",2017-10-13 22:24:21,"781463DA0149A7BC",0,100,1,0,8,26.45,85
"167",2017-10-13 22:24:22,"781463DA0104F566",0,100,1,0,8,26.45,85
"168",2017-10-13 22:24:22,"781463DA0149A177",0,100,1,0,8,26.12,87
"169",2017-10-13 22:24:22,"781463DA0149B1C4",0,100,1,0,26,26.44,84
"170",2017-10-13 22:24:22,"781463DA0149DBFF",0,100,1,0,12,25.52,88
"171",2017-10-13 22:24:24,"781463DA0104F689",0,100,1,0,11,27.48,81
"172",2017-10-13 22:24:25,"781463DA0104F797",0,100,1,0,20,26.98,82
"173",2017-10-13 22:24:26,"28C2DDDD40E0",0,100,1,0,18,31.5,80
"174",2017-10-13 22:24:31,"28C2DDDD45E2",0,100,1,0,35,31.87,87
"175",2017-10-13 22:24:31,"781463DA0104F6A9",0,100,1,0,11,26.68,84
"176",2017-10-13 22:24:42,"781463DA0104F2C0",0,100,1,0,16,27.72,81
"177",2017-10-13 22:24:42,"781463DA0104F417",0,100,1,0,11,26.63,85
"178",2017-10-13 22:24:42,"781463DA0149A43B",0,100,1,0,10,26.77,84
"179",2017-10-13 22:24:45,"781463DA0104F70A",0,100,1,0,11,27.62,81
"180",2017-10-13 22:25:03,"781463DA0104F657",0,100,1,0,0,26.08,87
"181",2017-10-13 22:25:05,"781463DA0104F787",0,100,1,0,0,29.25,76
"182",2017-10-13 22:25:09,"781463DA0149ABAC",0,100,1,0,21,26.24,85
"183",2017-10-13 22:25:12,"781463DA0104F624",0,100,1,0,14,27.34,82
"184",2017-10-13 22:25:15,"28C2DDDD45FC",0,100,1,0,3,28.87,100
"185",2017-10-13 22:25:16,"781463DA0149AD11",0,100,1,0,12,28.86,77
"186",2017-10-13 22:25:16,"781463DA0149B198",0,100,1,0,14,27.71,80
"187",2017-10-13 22:25:19,"781463DA0104F38D",0,100,1,0,11,29.75,74
"188",2017-10-13 22:25:23,"781463DA0104F314",0,100,1,0,12,26.36,80
"189",2017-10-13 22:25:24,"781463DA0104F38E",0,100,1,0,22,27.15,82
"190",2017-10-13 22:25:24,"781463DA0149A7F0",0,100,1,0,11,27.73,80
"191",2017-10-13 22:25:27,"28C2DDDD4343",0,100,1,0,19,32.12,72
"192",2017-10-13 22:25:27,"781463DA0149A78F",0,100,1,0,11,26.05,88
"193",2017-10-13 22:25:28,"28C2DDDD47C0",0,100,1,0,19,33.37,66
"194",2017-10-13 22:25:31,"781463DA0149A45F",0,100,1,0,6,24.6,91
"195",2017-10-13 22:25:38,"781463DA0104F429",0,100,1,0,7,25,88
"196",2017-10-13 22:25:43,"781463DA0104F20E",0,100,1,0,20,28.94,77
"197",2017-10-13 22:25:48,"781463DA0104F3E4",0,100,1,0,17,26.75,83
"198",2017-10-13 22:25:48,"781463DA0104F620",0,100,1,0,14,26.61,84
"199",2017-10-13 22:25:48,"781463DA0104F6A5",0,100,1,0,8,27.21,81
"200",2017-10-13 22:25:48,"781463DA0104F77D",0,100,1,0,10,26.85,83
"201",2017-10-13 22:25:48,"781463DA0149A472",0,100,1,0,22,27.27,83
"202",2017-10-13 22:25:48,"781463DA0149AF90",0,100,1,0,20,25.24,87
"203",2017-10-13 22:25:48,"781463DA0149AFDB",0,100,1,0,14,27.09,82
"204",2017-10-13 22:25:48,"781463DA0149B1A1",0,100,1,0,19,28.62,76
"205",2017-10-13 22:25:48,"781463DA014AA885",0,100,1,0,20,26.91,83
"206",2017-10-13 22:26:08,"781463DA0104F284",0,100,1,0,50,24.03,94
"207",2017-10-13 22:26:09,"781463DA0104F43D",0,100,1,0,14,27.63,81
"208",2017-10-13 22:26:19,"781463DA014AA88F",0,100,1,0,5,30.36,71
"209",2017-10-13 22:26:29,"28C2DDDD47CB",0,100,1,0,19,32,100
"210",2017-10-13 22:26:34,"28C2DDDD4229",0,100,1,0,3,28.87,100
"211",2017-10-13 22:26:34,"28C2DDDD4239",0,100,1,0,0,31.25,86
"212",2017-10-13 22:26:40,"28C2DDDD415F",0,100,1,0,9,29.62,54
"213",2017-10-13 22:27:14,"28C2DDDD4360",0,100,1,0,1,29,100
"214",2017-10-13 22:27:14,"781463DA0104F278",0,100,1,0,16,27.68,80
"215",2017-10-13 22:27:14,"781463DA0104F3EA",0,100,1,0,15,28.03,77
"216",2017-10-13 22:27:14,"781463DA0104F695",0,100,1,0,16,25.62,89
"217",2017-10-13 22:27:14,"781463DA0149B1EF",0,100,1,0,16,26,86
"218",2017-10-13 22:27:15,"781463DA0149B3AD",0,100,1,0,24,25.34,90
"219",2017-10-13 22:27:16,"781463DA0149A786",0,100,1,0,20,26.14,87
"220",2017-10-13 22:27:17,"781463DA0149ABD3",0,100,1,0,0,26.22,57
"221",2017-10-13 22:27:22,"781463DA0104F34A",0,100,1,0,22,27.61,81
"222",2017-10-13 22:27:23,"781463DA0104F4E6",0,100,1,0,2,24.2,75
"223",2017-10-13 22:27:23,"781463DA0104F566",0,100,1,0,6,26.42,85
"224",2017-10-13 22:27:23,"781463DA0149A7BC",0,100,1,0,5,26.46,85
"225",2017-10-13 22:27:23,"781463DA0149B1C4",0,100,1,0,25,26.38,84
